taxcode,cluster_label,score,sector_unique_id,empl_qtty,STD_RTD13,STD_RTD14,STD_RTD31
104356057,2,939991080.5,1463,5,1552730000,27843600,1552730000
106611993,2,911824181.8,1490,10,1583877421,1386796515,68740000
106135832,2,859669874.2,1462,7,1092823346,992823346,779919553
104637805,2,820982542.8,1500,0,1368304238,1368304238,0
106400463,2,816905443.2,1700,6,1361509071,1361509071,0
104925828,2,560956582.3,1620,10,1062811499,707363272,99680500
106294631,2,311869625.4,3221,0,519782709,519782709,0
0100104757-003,2,201785247.3,1490,15,330483743,330483743,11650000
104103627,2,102000006,3223,60,170000000,170000000,0
0104948060-002,2,58900490.2,1500,1,455147035,-258812068,0
101636786,2,-4837720.6,3224,8,4230013804,-6391138606,2144999064
0100104757-007,2,-61273712.2,1490,5,67493031,-315375104,43636364
106827752,3,2.39493E+12,1181,281,5.10776E+12,2.23044E+12,6.44882E+11
101449271,3,1.41388E+12,1110,324,2.00339E+12,1.55721E+12,1.15235E+12
105349983,4,2.14411E+11,2103,14,7.04598E+11,10105878049,0
104473265,4,98983218126,2200,98,2.0512E+11,35040529064,89783494803
102647886,4,47380857930,2101,8,78968096549,78968096549,0
102342669,4,43950981328,2103,10,71492780908,5595397093,69415093089
103416070,4,25295825074,2200,9,47508603994,36810812915,0
101553875,4,16212130209,2400,20,25901299959,22653046555,5486087508
104465673,4,11183116491,2400,9,27469532603,9807522365,0
106232547,4,9246467193,2200,3,35633861600,-5357110040,544805748
106325590,4,9028189088,2200,10,26163050129,-294548405,4225461900
106783907,4,8209925492,2101,10,10131410532,9522217013,7712790758
105783453,4,7945861693,2400,5,9663336286,4371455860,12451413496
106497159,4,7802937229,2104,12,14918011256,9176040570,1915738934
101150971,4,5135262984,2200,10,7808064721,4479768767,4829709788
105751652,4,4573936016,2103,11,7205256025,4816430430,3224766928
105641032,4,3479185661,220,9,5798642767,5798642767,0
105606285,4,2840375836,2101,11,4212588539,4209624086,1045706823
100102566,4,2666836240,2104,9,10304444408,-2982477622,1567487344
106609225,4,2365500002,2200,15,3985000000,3900000000,0
101618392,4,1698624073,2104,7,2576925071,1907700170,1177455000
105420354,4,964170165.9,2103,3,2563201240,650699312,0
105488497,4,481670850.6,2320,9,1802693688,-331266447,134142258
106476920,4,218490159.8,2400,5,59661642,44661642,623977247
101349301,4,10366925.9,2103,5,34556418,0,0
